HOSP_DISTRICT,HOSP_NAME,CATEGORY_NAME,no_of_patient,total_claim_amount,start_data,end_date
East Godavari,TRUST HOSPITAL A UNIT OF SARVOTTAM HEALTH CARE PVT LTD,GASTROENTEROLOGY,2,37190,2016-06-01,2016-06-30
East Godavari,TRUST HOSPITAL A UNIT OF SARVOTTAM HEALTH CARE PVT LTD,NEPHROLOGY,6,67570,2016-06-01,2016-06-30
Guntur,Area Hospital - Narsaraopet,GENERAL SURGERY,3,64660,2016-06-01,2016-06-30
Guntur,Area Hospital - Narsaraopet,PEDIATRIC SURGERIES,1,15000,2016-06-01,2016-06-30
Guntur,Aswini Hospital,GENITO URINARY SURGERIES,1,34280,2016-06-01,2016-06-30
Guntur,Aswini Hospital,NEPHROLOGY,20,263740,2016-06-01,2016-06-30
Guntur,BHAVANAM VENKATRAM MEMORIAL GBR SUPER SPECIALITY HOSPITAL,CRITICAL CARE,2,81500,2016-06-01,2016-06-30
Guntur,BHAVANAM VENKATRAM MEMORIAL GBR SUPER SPECIALITY HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,3,49100,2016-06-01,2016-06-30
Guntur,BHAVANAM VENKATRAM MEMORIAL GBR SUPER SPECIALITY HOSPITAL,POLY TRAUMA,1,23200,2016-06-01,2016-06-30
Guntur,Balaji Cancer Care Centre,SURGICAL ONCOLOGY,1,25000,2016-06-01,2016-06-30
Guntur,District Hospital - Tenali,ENDOCRINOLOGY,8,148060,2016-06-01,2016-06-30
Guntur,District Hospital - Tenali,NEUROLOGY,6,82060,2016-06-01,2016-06-30
Guntur,District Hospital - Tenali,ORTHOPEDIC  SURGERY AND PROCEDURES,2,30000,2016-06-01,2016-06-30
Guntur,District Hospital - Tenali,PEDIATRICS,5,175000,2016-06-01,2016-06-30
Guntur,District Hospital - Tenali,POLY TRAUMA,6,183134,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",CARDIAC AND CARDIOTHORACIC SURGERY,14,1273968,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",CARDIOLOGY,22,528100,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",ENDOCRINOLOGY,1,19710,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",ENT  SURGERY,27,383530,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",GASTROENTEROLOGY,20,465600,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",GENERAL MEDICINE,5,104300,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",GENERAL SURGERY,10,228740,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",GENITO URINARY SURGERIES,26,728880,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",GYNAECOLOGY AND OBSTETRICS  SURGERY,7,123110,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",NEPHROLOGY,25,479250,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",NEUROLOGY,55,978340,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",NEUROSURGERY,3,151050,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",ORTHOPEDIC  SURGERY AND PROCEDURES,4,64160,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",PEDIATRIC SURGERIES,3,63560,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",PEDIATRICS,79,1704880,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",PLASTIC SURGERY,4,141686,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",POLY TRAUMA,5,106900,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",PULMONOLOGY,4,75200,2016-06-01,2016-06-30
Guntur,"Government General Hospital, Guntur",SURGICAL ONCOLOGY,4,118380,2016-06-01,2016-06-30
Guntur,Govt Fever Hospital,PULMONOLOGY,4,98500,2016-06-01,2016-06-30
Guntur,HEALTH HOSPITALSL.G Medical specialities,GYNAECOLOGY AND OBSTETRICS  SURGERY,1,24910,2016-06-01,2016-06-30
Guntur,HEALTH HOSPITALSL.G Medical specialities,ORTHOPEDIC  SURGERY AND PROCEDURES,1,10000,2016-06-01,2016-06-30
Guntur,Hyma Hospital ,GENITO URINARY SURGERIES,1,20000,2016-06-01,2016-06-30
Guntur,Hyma Hospital ,GYNAECOLOGY AND OBSTETRICS  SURGERY,1,20130,2016-06-01,2016-06-30
Guntur,Hyma Hospital ,PEDIATRIC SURGERIES,1,29860,2016-06-01,2016-06-30
Guntur,KAVURU INSTITUTE OF MEDICAL SCIENCES KIMS HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,2,35000,2016-06-01,2016-06-30
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,20,1683922,2016-06-01,2016-06-30
Guntur,Karumuri Hospital,CARDIOLOGY,13,323000,2016-06-01,2016-06-30
Guntur,Katuri Medical College  And Hospital A unit of Vignan Educational Foundation,CARDIAC AND CARDIOTHORACIC SURGERY,3,230846,2016-06-01,2016-06-30
Guntur,Katuri Medical College  And Hospital A unit of Vignan Educational Foundation,CARDIOLOGY,1,20000,2016-06-01,2016-06-30
Guntur,Katuri Medical College  And Hospital A unit of Vignan Educational Foundation,POLY TRAUMA,2,66100,2016-06-01,2016-06-30
Guntur,Lalitha Super Speciality Hospital P Ltd,CARDIAC AND CARDIOTHORACIC SURGERY,4,365020,2016-06-01,2016-06-30
Guntur,Lalitha Super Speciality Hospital P Ltd,CARDIOLOGY,26,713000,2016-06-01,2016-06-30
Guntur,Lalitha Super Speciality Hospital P Ltd,GENERAL SURGERY,1,40000,2016-06-01,2016-06-30
Guntur,Lalitha Super Speciality Hospital P Ltd,GYNAECOLOGY AND OBSTETRICS  SURGERY,1,24910,2016-06-01,2016-06-30
Guntur,Lalitha Super Speciality Hospital P Ltd,NEUROLOGY,1,29030,2016-06-01,2016-06-30
Guntur,Manipal Health Enterprises PVT LTD,CARDIAC AND CARDIOTHORACIC SURGERY,4,384656,2016-06-01,2016-06-30
Guntur,Manipal Health Enterprises PVT LTD,ENT  SURGERY,2,27762,2016-06-01,2016-06-30
Guntur,Manipal Health Enterprises PVT LTD,GENITO URINARY SURGERIES,4,109360,2016-06-01,2016-06-30
Guntur,Manipal Health Enterprises PVT LTD,NEPHROLOGY,15,202737,2016-06-01,2016-06-30
Guntur,Manipal Health Enterprises PVT LTD,ORTHOPEDIC  SURGERY AND PROCEDURES,2,50000,2016-06-01,2016-06-30
Guntur,Manipal Health Enterprises PVT LTD,PEDIATRICS,2,76100,2016-06-01,2016-06-30
Guntur,Manipal Health Enterprises PVT LTD,RADIATION ONCOLOGY,1,5000,2016-06-01,2016-06-30
Guntur,Nri Academyof Sciences,CARDIAC AND CARDIOTHORACIC SURGERY,14,1261030,2016-06-01,2016-06-30
Guntur,Nri Academyof Sciences,CARDIOLOGY,1,16000,2016-06-01,2016-06-30
Guntur,Nri Academyof Sciences,CRITICAL CARE,1,115000,2016-06-01,2016-06-30
Guntur,Nri Academyof Sciences,ENT  SURGERY,3,48320,2016-06-01,2016-06-30
Guntur,Nri Academyof Sciences,NEPHROLOGY,1,12500,2016-06-01,2016-06-30
Guntur,Nri Academyof Sciences,RADIATION ONCOLOGY,1,65000,2016-06-01,2016-06-30
Guntur,Peoples Trauma And Emergency Hospital,NEUROSURGERY,2,90000,2016-06-01,2016-06-30
Guntur,SUSMITHA ORTHO AND TRAUMA CARE,ORTHOPEDIC  SURGERY AND PROCEDURES,6,170844,2016-06-01,2016-06-30
Guntur,SUSMITHA ORTHO AND TRAUMA CARE,POLY TRAUMA,4,75000,2016-06-01,2016-06-30
Guntur,Sri Ramachandra Childrens And Dental Hospital,PEDIATRICS,2,92000,2016-06-01,2016-06-30
Guntur,Sri Sai Hospitals,GENITO URINARY SURGERIES,2,63078,2016-06-01,2016-06-30
Guntur,Sri Sai Hospitals,NEUROSURGERY,1,66190,2016-06-01,2016-06-30
Guntur,Sri Sai Hospitals,POLY TRAUMA,1,27300,2016-06-01,2016-06-30
Guntur,St. Joseph,ORTHOPEDIC  SURGERY AND PROCEDURES,2,45000,2016-06-01,2016-06-30
Guntur,YASHASWI HOSPITALS,ORTHOPEDIC  SURGERY AND PROCEDURES,12,358460,2016-06-01,2016-06-30
Guntur,YASHASWI HOSPITALS,PLASTIC SURGERY,1,60010,2016-06-01,2016-06-30
Guntur,YASHASWI HOSPITALS,POLY TRAUMA,2,50000,2016-06-01,2016-06-30
Hyderabad,Apollo Hospitals  Secunderabad,CARDIAC AND CARDIOTHORACIC SURGERY,2,170020,2016-06-01,2016-06-30
Hyderabad,Apollo Hospitals  Secunderabad,NEUROSURGERY,1,50000,2016-06-01,2016-06-30
Hyderabad,Apollo Hospitals  Secunderabad,POLY TRAUMA,2,52400,2016-06-01,2016-06-30
Hyderabad,Apollo Hospitals Enterprises Ltd Jubilee Hills,CARDIAC AND CARDIOTHORACIC SURGERY,3,285866,2016-06-01,2016-06-30
Hyderabad,"BASAVATARAKAM INDO AMERICAN CANCER HOSPITAL and RESEARCH INSTITUTE, Hyderabad",NEUROSURGERY,1,68890,2016-06-01,2016-06-30
Hyderabad,"BASAVATARAKAM INDO AMERICAN CANCER HOSPITAL and RESEARCH INSTITUTE, Hyderabad",RADIATION ONCOLOGY,1,10000,2016-06-01,2016-06-30
Hyderabad,"BASAVATARAKAM INDO AMERICAN CANCER HOSPITAL and RESEARCH INSTITUTE, Hyderabad",SURGICAL ONCOLOGY,2,134746,2016-06-01,2016-06-30
Hyderabad,District Hospital -  Kingkoti,NEPHROLOGY,2,25000,2016-06-01,2016-06-30
Hyderabad,Gandhi Hospitals,GENERAL MEDICINE,1,15000,2016-06-01,2016-06-30
Hyderabad,Gandhi Hospitals,POLY TRAUMA,1,30000,2016-06-01,2016-06-30
Hyderabad,Govt Ent Hospital  - Koti,ENT  SURGERY,1,13000,2016-06-01,2016-06-30
Hyderabad,Govt. Genl. And Chest Hospital ,PULMONOLOGY,2,44600,2016-06-01,2016-06-30
Hyderabad,M.N.J.Hospitals,MEDICAL ONCOLOGY,7,252912,2016-06-01,2016-06-30
Hyderabad,M.N.J.Hospitals,SURGICAL ONCOLOGY,7,241420,2016-06-01,2016-06-30
Hyderabad,Mahavir Hospital And Research Centre,NEPHROLOGY,4,50000,2016-06-01,2016-06-30
Hyderabad,Max Cure Hospitals a unit of Sahrudaya Health Care Pvt. Ltd.,CARDIAC AND CARDIOTHORACIC SURGERY,1,147900,2016-06-01,2016-06-30
Hyderabad,Medwin Hospitals,CARDIAC AND CARDIOTHORACIC SURGERY,6,458186,2016-06-01,2016-06-30
Hyderabad,Medwin Hospitals,RADIATION ONCOLOGY,1,10000,2016-06-01,2016-06-30
Hyderabad,Niloufer Hospital,PEDIATRICS,3,25400,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,CARDIAC AND CARDIOTHORACIC SURGERY,11,1180378,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,CARDIOLOGY,1,54100,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,CRITICAL CARE,2,65100,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,GASTROENTEROLOGY,1,38200,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,GENERAL MEDICINE,2,70100,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,GENERAL SURGERY,1,23200,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,GENITO URINARY SURGERIES,9,595980,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,MEDICAL ONCOLOGY,7,186770,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,NEPHROLOGY,43,729780,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,ORTHOPEDIC  SURGERY AND PROCEDURES,2,78430,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,PLASTIC SURGERY,1,33800,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,PULMONOLOGY,2,74200,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,RADIATION ONCOLOGY,1,36000,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,RHEUMATOLOGY,3,67802,2016-06-01,2016-06-30
Hyderabad,Nims Hospitals,SURGICAL ONCOLOGY,5,151720,2016-06-01,2016-06-30
Hyderabad,OLIVE HOSPITAL,CARDIAC AND CARDIOTHORACIC SURGERY,1,118162,2016-06-01,2016-06-30
Hyderabad,Osmania General Hospital ,GASTROENTEROLOGY,2,48200,2016-06-01,2016-06-30
Hyderabad,Osmania General Hospital ,GENERAL MEDICINE,1,52800,2016-06-01,2016-06-30
Hyderabad,Osmania General Hospital ,NEPHROLOGY,15,216390,2016-06-01,2016-06-30
Hyderabad,Osmania General Hospital ,NEUROLOGY,1,55500,2016-06-01,2016-06-30
Hyderabad,Prime Hospitals,CARDIAC AND CARDIOTHORACIC SURGERY,2,376000,2016-06-01,2016-06-30
Hyderabad,Quality Care India Ltd Care Hospitals Banjarahills,CARDIAC AND CARDIOTHORACIC SURGERY,1,16520,2016-06-01,2016-06-30
Hyderabad,Quality Care India Ltd Care Hospitals Banjarahills,CARDIOLOGY,1,72820,2016-06-01,2016-06-30
Hyderabad,Quality Care India Ltd Care Hospitals- Nampally ,CARDIOLOGY,1,71400,2016-06-01,2016-06-30
Hyderabad,Ravindranath Ge Medical Associates Pvt Ltd. Global Hospital Lakdikapool,CARDIAC AND CARDIOTHORACIC SURGERY,2,144110,2016-06-01,2016-06-30
Hyderabad,SAI VANI SUPER SPECIALITY HOSPITALS LTD A UNIT OF VISHWA HEALTH INSTITUTE PVT LTD,NEPHROLOGY,1,10000,2016-06-01,2016-06-30
Hyderabad,SUNSHINE HEART INSTITUTE,CARDIAC AND CARDIOTHORACIC SURGERY,36,3364417,2016-06-01,2016-06-30
Hyderabad,SUNSHINE HEART INSTITUTE,CARDIOLOGY,2,145640,2016-06-01,2016-06-30
Hyderabad,Sarojini Devi Eye Hospital,OPHTHALMOLOGY  SURGERY,1,27100,2016-06-01,2016-06-30
Hyderabad,Unimed Healthcare Pvt- Ltd Star Hospitals,CARDIAC AND CARDIOTHORACIC SURGERY,5,400000,2016-06-01,2016-06-30
Hyderabad,Unimed Healthcare Pvt- Ltd Star Hospitals,NEPHROLOGY,2,25000,2016-06-01,2016-06-30
Hyderabad,Vasavi Hospital,NEPHROLOGY,1,28870,2016-06-01,2016-06-30
Hyderabad,Vasavi Hospital,SURGICAL GASTRO ENTEROLOGY,1,99100,2016-06-01,2016-06-30
Khammam,Area Hospital - Badrachalam,POLY TRAUMA,1,27300,2016-06-01,2016-06-30
Khammam,District Hospital-Khammam-,NEPHROLOGY,2,25000,2016-06-01,2016-06-30
Khammam,District Hospital-Khammam-,PEDIATRICS,1,15000,2016-06-01,2016-06-30
Khammam,Srujan Ortho And Accident Care Hospital,POLY TRAUMA,1,30000,2016-06-01,2016-06-30
Krishna,AAYUSH NRI LEPL HEALTHCARE PVT LTD,CARDIAC AND CARDIOTHORACIC SURGERY,7,321560,2016-06-01,2016-06-30
Krishna,AAYUSH NRI LEPL HEALTHCARE PVT LTD,CARDIOLOGY,2,122400,2016-06-01,2016-06-30
Krishna,AAYUSH NRI LEPL HEALTHCARE PVT LTD,GENITO URINARY SURGERIES,2,76000,2016-06-01,2016-06-30
Krishna,AAYUSH NRI LEPL HEALTHCARE PVT LTD,NEPHROLOGY,1,5100,2016-06-01,2016-06-30
Krishna,AAYUSH NRI LEPL HEALTHCARE PVT LTD,ORTHOPEDIC  SURGERY AND PROCEDURES,1,20400,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,CARDIAC AND CARDIOTHORACIC SURGERY,5,517538,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,CARDIOLOGY,5,176000,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,GASTROENTEROLOGY,2,45000,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,GENERAL SURGERY,2,73000,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,GENITO URINARY SURGERIES,2,64280,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,GYNAECOLOGY AND OBSTETRICS  SURGERY,1,24910,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,NEPHROLOGY,6,111740,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,PEDIATRIC SURGERIES,5,252240,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,PEDIATRICS,2,85000,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,POLY TRAUMA,1,20000,2016-06-01,2016-06-30
Krishna,ANDHRAHOSPITALSVIJAYAWADAPVTLTD,SURGICAL GASTRO ENTEROLOGY,2,100000,2016-06-01,2016-06-30
Krishna,Andhra Health Diagnostic Services LimitedGlobal Vijayawada,NEPHROLOGY,1,5000,2016-06-01,2016-06-30
Krishna,Andhra Health Diagnostic Services LimitedGlobal Vijayawada,NEUROLOGY,2,30000,2016-06-01,2016-06-30
Krishna,Andhra Health Diagnostic Services LimitedGlobal Vijayawada,PULMONOLOGY,1,30000,2016-06-01,2016-06-30
Krishna,Area Hospital - Gudivada,PEDIATRICS,2,70000,2016-06-01,2016-06-30
Krishna,Citi orthopaedic center,GENITO URINARY SURGERIES,2,44280,2016-06-01,2016-06-30
Krishna,Citi orthopaedic center,ORTHOPEDIC  SURGERY AND PROCEDURES,1,30000,2016-06-01,2016-06-30
Krishna,District Hospital - Machilipatnam,ENT  SURGERY,6,67510,2016-06-01,2016-06-30
Krishna,District Hospital - Machilipatnam,NEUROLOGY,6,101100,2016-06-01,2016-06-30
Krishna,District Hospital - Machilipatnam,OPHTHALMOLOGY  SURGERY,1,10100,2016-06-01,2016-06-30
Krishna,District Hospital - Machilipatnam,POLY TRAUMA,1,28200,2016-06-01,2016-06-30
Krishna,Dr.Ramesh Cardiac And Multispeciality Hospital Ltd,CARDIAC AND CARDIOTHORACIC SURGERY,3,286472,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,ENDOCRINOLOGY,1,22500,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,ENT  SURGERY,8,103500,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,GENERAL SURGERY,12,275800,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,GENITO URINARY SURGERIES,1,15530,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,NEPHROLOGY,8,112210,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,ORTHOPEDIC  SURGERY AND PROCEDURES,1,7100,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,PEDIATRIC SURGERIES,1,15000,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,PEDIATRICS,26,638200,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,PLASTIC SURGERY,1,20000,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,PULMONOLOGY,2,37600,2016-06-01,2016-06-30
Krishna,Govt. General Hospital- Vijayawada,SURGICAL ONCOLOGY,1,15260,2016-06-01,2016-06-30
Krishna,Help Hospitals Pvt Ltd,CARDIAC AND CARDIOTHORACIC SURGERY,4,309976,2016-06-01,2016-06-30
Krishna,Help Hospitals Pvt Ltd,CARDIOLOGY,4,95000,2016-06-01,2016-06-30
Krishna,Help Hospitals Pvt Ltd,GENITO URINARY SURGERIES,2,45000,2016-06-01,2016-06-30
Krishna,Help Hospitals Pvt Ltd,ORTHOPEDIC  SURGERY AND PROCEDURES,2,60000,2016-06-01,2016-06-30
Krishna,KAMINENI HOSPITAL,CARDIOLOGY,3,170000,2016-06-01,2016-06-30
Krishna,KAMINENI HOSPITAL,ENT  SURGERY,5,70400,2016-06-01,2016-06-30
Krishna,KAMINENI HOSPITAL,GENITO URINARY SURGERIES,3,80538,2016-06-01,2016-06-30
Krishna,KAMINENI HOSPITAL,NEPHROLOGY,12,219980,2016-06-01,2016-06-30
Krishna,KAMINENI HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,8,239684,2016-06-01,2016-06-30
Krishna,LIFE LINE TRIMURTY HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,2,35000,2016-06-01,2016-06-30
Krishna,LIFE LINE TRIMURTY HOSPITAL,POLY TRAUMA,3,67300,2016-06-01,2016-06-30
Krishna,Nagarjuna Hospital,GASTROENTEROLOGY,2,51000,2016-06-01,2016-06-30
Krishna,Nagarjuna Hospital,NEPHROLOGY,11,130250,2016-06-01,2016-06-30
Krishna,Nagarjuna Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,1,10200,2016-06-01,2016-06-30
Krishna,PRAVEEN CARDIAC CENTRE,CARDIAC AND CARDIOTHORACIC SURGERY,9,995886,2016-06-01,2016-06-30
Krishna,PRAVEEN CARDIAC CENTRE,CARDIOLOGY,5,138000,2016-06-01,2016-06-30
Krishna,PRAVEEN CARDIAC CENTRE,NEUROLOGY,8,135340,2016-06-01,2016-06-30
Krishna,Pinnamaneni Institue Of Medical Sciences,CARDIAC AND CARDIOTHORACIC SURGERY,15,1200550,2016-06-01,2016-06-30
Krishna,Pinnamaneni Institue Of Medical Sciences,CARDIOLOGY,6,138000,2016-06-01,2016-06-30
Krishna,Pinnamaneni Institue Of Medical Sciences,ENT  SURGERY,1,18240,2016-06-01,2016-06-30
Krishna,Pinnamaneni Institue Of Medical Sciences,GENITO URINARY SURGERIES,4,128560,2016-06-01,2016-06-30
Krishna,Pinnamaneni Institue Of Medical Sciences,NEPHROLOGY,10,67910,2016-06-01,2016-06-30
Krishna,Pinnamaneni Institue Of Medical Sciences,NEUROLOGY,3,69030,2016-06-01,2016-06-30
Krishna,Pinnamaneni Institue Of Medical Sciences,PEDIATRICS,2,63000,2016-06-01,2016-06-30
Krishna,Pinnamaneni Institue Of Medical Sciences,POLY TRAUMA,1,30000,2016-06-01,2016-06-30
Krishna,Prasanth Hospital,GENITO URINARY SURGERIES,1,34280,2016-06-01,2016-06-30
Krishna,SENTINI HOSPITALS PRIVATE LIMITED,CARDIAC AND CARDIOTHORACIC SURGERY,1,10000,2016-06-01,2016-06-30
Krishna,SENTINI HOSPITALS PRIVATE LIMITED,CARDIOLOGY,1,20600,2016-06-01,2016-06-30
Krishna,SENTINI HOSPITALS PRIVATE LIMITED,GASTROENTEROLOGY,1,21000,2016-06-01,2016-06-30
Krishna,SENTINI HOSPITALS PRIVATE LIMITED,NEPHROLOGY,1,25000,2016-06-01,2016-06-30
Krishna,SUNRISE HOSPITALS,ENT  SURGERY,1,14080,2016-06-01,2016-06-30
Krishna,SUNRISE HOSPITALS,GASTROENTEROLOGY,1,30000,2016-06-01,2016-06-30
Krishna,SUNRISE HOSPITALS,ORTHOPEDIC  SURGERY AND PROCEDURES,1,5000,2016-06-01,2016-06-30
Krishna,Trust Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,2,50000,2016-06-01,2016-06-30
Krishna,Usha Cardiac Centre Limited,CARDIAC AND CARDIOTHORACIC SURGERY,3,251692,2016-06-01,2016-06-30
Krishna,Usha Cardiac Centre Limited,CARDIOLOGY,1,30000,2016-06-01,2016-06-30
Krishna,VIJAYA SUPER SPECIALITY HOSPITAL,GENITO URINARY SURGERIES,5,116360,2016-06-01,2016-06-30
Krishna,VIJAYA SUPER SPECIALITY HOSPITAL,NEPHROLOGY,26,586890,2016-06-01,2016-06-30
Krishna,VIJAYA SUPER SPECIALITY HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,2,24100,2016-06-01,2016-06-30
Kurnool,Aayushman Hospital,GENITO URINARY SURGERIES,5,130210,2016-06-01,2016-06-30
Kurnool,Aayushman Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,6,222656,2016-06-01,2016-06-30
Kurnool,BALAJI HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,1,10000,2016-06-01,2016-06-30
Kurnool,District Hospital - Nandyal,GENERAL SURGERY,3,60710,2016-06-01,2016-06-30
Kurnool,District Hospital - Nandyal,GYNAECOLOGY AND OBSTETRICS  SURGERY,1,32500,2016-06-01,2016-06-30
Kurnool,District Hospital - Nandyal,PEDIATRICS,1,7500,2016-06-01,2016-06-30
Kurnool,District Hospital - Nandyal,PLASTIC SURGERY,1,39060,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,CARDIOLOGY,38,1047000,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,CRITICAL CARE,3,134600,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,ENT  SURGERY,4,51680,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,GASTROENTEROLOGY,19,535890,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,GENERAL MEDICINE,9,203100,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,GENERAL SURGERY,28,684770,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,GENITO URINARY SURGERIES,2,38730,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,NEPHROLOGY,35,472630,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,NEUROLOGY,90,1623710,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,NEUROSURGERY,13,500900,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,OPHTHALMOLOGY  SURGERY,2,20840,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,ORTHOPEDIC  SURGERY AND PROCEDURES,14,311880,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,PEDIATRIC SURGERIES,3,64830,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,PEDIATRICS,43,915260,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,POLY TRAUMA,32,826532,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,PULMONOLOGY,1,26400,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,RADIATION ONCOLOGY,1,13000,2016-06-01,2016-06-30
Kurnool,Govt General Hospital Kurnool,SURGICAL ONCOLOGY,1,28200,2016-06-01,2016-06-30
Kurnool,Gowri Gopal Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,1,65010,2016-06-01,2016-06-30
Kurnool,Gowri Gopal Hospital,NEPHROLOGY,9,112500,2016-06-01,2016-06-30
Kurnool,Medicare Hospitals,GENITO URINARY SURGERIES,3,84280,2016-06-01,2016-06-30
Kurnool,"OMNI Hospitals, a unit of Ms. Incor Padmachandra Hospitls Pvt. Ltd",CARDIAC AND CARDIOTHORACIC SURGERY,2,160020,2016-06-01,2016-06-30
Kurnool,"OMNI Hospitals, a unit of Ms. Incor Padmachandra Hospitls Pvt. Ltd",CARDIOLOGY,3,65000,2016-06-01,2016-06-30
Kurnool,"OMNI Hospitals, a unit of Ms. Incor Padmachandra Hospitls Pvt. Ltd",NEPHROLOGY,9,144380,2016-06-01,2016-06-30
Kurnool,"OMNI Hospitals, a unit of Ms. Incor Padmachandra Hospitls Pvt. Ltd",PEDIATRIC SURGERIES,1,35100,2016-06-01,2016-06-30
Kurnool,SRI SAI SATYA HOSPITAL,ENT  SURGERY,2,24000,2016-06-01,2016-06-30
Kurnool,SRI VIJAYA DURGA CARDIAC CENTRE,CARDIOLOGY,1,30000,2016-06-01,2016-06-30
